順位,ネーム,アイコン,ルームナンバー,info,登録者数
240,道明寺可可亚official,https://i0.hdslb.com/bfs/face/82dd42538e888c47cc1995d26b31b7ca01bb027a.jpg@256h_256w,381951501,大家好 我是道明寺可可亚 有时会唱一些我喜欢的歌 请大家多多关照,"46,789"
241,奏手一弦Official,https://i2.hdslb.com/bfs/face/9ac7a269cb17a1c2c8977510712f584933cf610f.jpg@256h_256w,456232604,这里是holostars所属Vtuber奏手一弦。【麻麻：TCB】,"46,175"
242,爱夏なつ,https://i1.hdslb.com/bfs/face/6ccaaa01e5f9d568b89c408da64381136bc46e0a.jpg@256h_256w,1826804, 再也不是没有温度的空间，而是名为爱夏的晴天。,"45,487"
243,铃鹿诗子Official,https://i1.hdslb.com/bfs/face/006fea6d4049ba960d82871613c899fe31fae77f.jpg@256h_256w,458154144,这里是超喜欢BL和可爱的男孩子，有一点危险的唱歌大姐姐。动漫歌曲和酒也都很喜欢！26岁单身，正在相亲中！,"45,427"
244,德比鲁Official,https://i1.hdslb.com/bfs/face/49579d24e5620c6d0e66e51c6c8eb80b66a3e446.jpg@256h_256w,441666968,沉迷于百合小说和冰淇淋的恶魔德比德比・德比鲁,"45,120"
245,铃原艺术研究社,https://i0.hdslb.com/bfs/face/b8b0e2275c206028aba8876781312de621604f49.jpg@256h_256w,428424219,遵守彩虹社二创条例 非官方搬运组 露露粉丝群：929297862 ※缺剪辑后期※ 有意者请b站私信或者加粉丝群联系管理,"44,597"
246,隐神木荫-九石玉Official,https://i1.hdslb.com/bfs/face/169d97a576c11d5abd2353d536dedbd1f394c754.jpg@256h_256w,488983671,"平时会发一些@猫宫日向Official的NG视频和动态 请多多指教啦～ 推特是@vd_inuko
                & @vf_tamama","44,577"
247,卖火柴的可可亚,https://i2.hdslb.com/bfs/face/0b2d6c657ac94b1c52749846fe88dc5185119a3f.jpg@256h_256w,719049,认为自己是美少女的精神异常猫男（x）酒馆战棋主播（x）小游戏主播（√）视频1080p音画不同步的换1080p60帧，反之换回来（,"43,624"
248,森中花咲Official,https://i0.hdslb.com/bfs/face/5161fbf4494ddedcd85dc16393f20d05b3d33793.jpg@256h_256w,436596836,る〜るるる〜！にじさんじ所属バーチャルライバーの森中花咲です！billbill動画でも楽しく活動していきたいと思います！,"43,411"
249,麦可可提不起劲,https://i1.hdslb.com/bfs/face/1822c38982c51418be6a11123b2e9e0e66455fbe.jpg@256h_256w,301760,虚拟鸽子，鲨鱼魔人，全职漫画家，偶尔做点小动画。weibo:麦可洛克,"43,053"
250,健屋花那的诊疗所,https://i2.hdslb.com/bfs/face/b559ea816d8a3cc95515d785c42bade65c5ff50a.jpg@256h_256w,386764545,にじさんじ所属健屋花那搬运组 审核群：883480132 粉丝群：185444267 生肉合集无特殊说明每日更新,"42,974"
251,kinoko杂菌,https://i2.hdslb.com/bfs/face/2600657eecab666a6fa8c6910cea13d6c9ccc33e.jpg@256h_256w,351007,个人号，只想做自己愿意的事。,"41,833"
252,风见唯花搬运,https://i2.hdslb.com/bfs/face/20931d15c7a5acc8229f5b9c1ee648a5694c5620.jpg@256h_256w,456435399,VTB风见唯花搬运（非公式）（招翻译，有意者请私聊）（直播录像目前先传生肉，后续条件允许的话将会换源）,"41,303"
253,呆梓爱你嗷,https://i1.hdslb.com/bfs/face/dd56315b46871ff7accabd13a751088721915e38.jpg@256h_256w,1598199,vup嗷嗷和舞见呆梓共用的号】 直播间565】真爱粉马甲：xx爱你嗷】嗷群：897149491 梓群：342032558】不忘初心 永远爱他,"41,055"
254,音音继ねね_Official,https://i0.hdslb.com/bfs/face/874dfb3d7a7582452e6fb831455a1c6fc9f43e24.jpg@256h_256w,439071630,欢迎来到nelineli音乐！音音継ねね和猫姫琥珀用歌声治愈你〜,"40,905"
255,七濑Unia,https://i0.hdslb.com/bfs/face/f18549d8c660c936f0a48bcfcc8b21d9a97fe366.jpg@256h_256w,353361863,努力成为开心快乐一生的妖精王！尤尼娅哒！军团群：885350936/Aien所属个人势/录播组@Uniaの妖精之森/话题#Uniart# ,"40,851"
256,Oscar-Channel,https://i0.hdslb.com/bfs/face/07bad92bcb358269132e7e581cb74a81fdfe930c.jpg@256h_256w,10296177,10296177,"40,828"
257,白雪巴的夜王国,https://i2.hdslb.com/bfs/face/f8635c1028c8b51821c0cc7868ad58d7a6dfe740.jpg@256h_256w,484764631,にじさんじ所属バーチャルライバー白雪 巴(しらゆき ともえ) 的非公式搬运组，审核群924539586 粉丝新群915685920,"40,626"
258,叫我MOUMOU酱,https://i2.hdslb.com/bfs/face/5840fb270559553de9a2d54f98d41aae95f1088f.jpg@256h_256w,352396621,这有什么问题么？微博：叫我MOUMOU酱,"40,539"
259,不更文,https://i1.hdslb.com/bfs/face/07caf4b435133bc5b632569f1636a9df1a611a8d.jpg@256h_256w,11785510,>求关注< 打赏→afdian.net/@bugengwen 粉丝二群932989418跑团群1132036447,"40,359"
260,xgjfsjhynrdyjyx,https://i0.hdslb.com/bfs/face/05c6bb59a6d3712ae56e2eb2b55c5596458a43af.jpg@256h_256w,9491259,请各位看最后一条动态,"40,140"
261,鈴宮鈴,https://i1.hdslb.com/bfs/face/c5691701f1d6ed09b3b996690a9ca18b50981274.jpg@256h_256w,480432362,LOL天使　妈妈paryi 推特@rin_suzumiyaa,"39,756"
262,柠狐柃,https://i1.hdslb.com/bfs/face/d19e6e1458ed940452c7864aafb938d42e3054d4.jpg@256h_256w,19462294,搞笑系虚拟UP主哒! 小伙伴们习惯叫我柠檬！求三连和关注！持续更新中！,"39,474"
263,莱娅Leia_Official,https://i1.hdslb.com/bfs/face/16c614da656dcfeac6ef44cfbb397075c1511e82.jpg@256h_256w,441416698,"见到你很高兴! 我是虚拟主播 Leia(莱娅) QQ粉丝俱乐部 (1055047237, 642839924) 审核组：822069154","39,224"
264,纸代棗-やすゆきOfficial,https://i1.hdslb.com/bfs/face/ca0fd9ffd71ac8024e048e2c23f539af1b0e89b3.jpg@256h_256w,480179246,"VTuber纸代棗与日本绘师やすゆき的共用账号
                纸代棗 推特@kmsr_natsume
                y老师推特/微博:@yasu00kamiki","39,154"
265,花留Karu,https://i2.hdslb.com/bfs/face/4b69dbc0274ceaf012762d074caee1b1f7109c11.jpg@256h_256w,370687588,贵族世家出身的大小姐，草留Karu，Virtuareal八期生。阳光浴场群号:150464672 ,"39,150"
266,赤星组Channel,https://i1.hdslb.com/bfs/face/939883d737f59b7d1428df8efebcf487ecd9878a.jpg@256h_256w,444559,直播间21232671 正式授权 粉丝群 725327833 审核群590628786 吃翻译校对，剪辑后期，调音混音，美工画师，动画建模,"39,138"
267,佐久間ねむ搬运,https://i0.hdslb.com/bfs/face/38d85fbc9d928b77378a6dbed26599d89d46b214.jpg@256h_256w,415858231,是狐狸不是羊驼(*´ω｀*) 佐久間ねむ油管频道官方授权字幕组 粉丝2群1015921219 审核群672668290,"38,764"
268,久远千岁搬运组,https://i1.hdslb.com/bfs/face/b43c0ff55c7a826c8e6ce39d8d86d4e54caecc11.jpg@256h_256w,257492,にじさんじ所属久远千岁非公式搬运,"38,150"
269,holostars,https://i1.hdslb.com/bfs/face/271ef8d675d0bef28f1cad7607f58cb071229e77.jpg@256h_256w,444316844,VTuber（虚拟Youtuber）事务所「holostars」官方帐号 ,"38,099"
270,子彧_official,https://i0.hdslb.com/bfs/face/e5120c565999efac3df0dace989c756e13475a1d.jpg@256h_256w,35749736,是子彧（yù）不是子或！ 联系子彧请加聊天Q群：679589673 录播组：@M78录播组,"38,084"
271,沙月ちゃん,https://i0.hdslb.com/bfs/face/7baab8aa402d76aa3ec693c0957edb7ac4923ea6.jpg@256h_256w,128912828,个人势vup，不属于任何社团组织！开播全靠缘分~！开播通知群：970778952 录播仓库：@沙羽,"37,869"
272,神乐Mea同好会,https://i1.hdslb.com/bfs/face/84871e82544c4d1666660f10b32f0bca231bbb18.jpg@256h_256w,479729029,神楽めあ相关信息搬运号。资讯情报、剪辑熟肉、PV二创freestyle 。人手不多，如有加入意愿欢迎私聊。,"37,667"
273,华硕天选官方UP,https://i0.hdslb.com/bfs/face/d23302319c85427ca2b7d82c7e39ad3bc1129ae7.jpg@256h_256w,471130755,华硕天选品牌代言人天选姬，已入驻华硕天选官方UP啦，说好的关注人家的，不能说话不作数哟~,"37,385"
274,图波列夫的设计图,https://i2.hdslb.com/bfs/face/957ead3864e3e5d589e9a8c5e4c6fa62b7c391d9.jpg@256h_256w,29145262,slaVTuber图酱Да! 毛子系航空系尖叫VUP，幻HOME一期生，业余飞行学习中 直播在隔壁找不到请加群190910217谢绝政治,"37,036"
275,佐久間ねむOfficial,https://i1.hdslb.com/bfs/face/37e417946fbed33eb8c43b0be27bbac6593016fe.jpg@256h_256w,476903292,Ciao~!佐久間ねむ(Sakuma Nemu)。16岁，是学生。粉絲2群1015921219 审核群672668290,"37,031"
276,因幡組搬運中心,https://i1.hdslb.com/bfs/face/1ffce87536ecce75919568c88e5145c89ec2c626.jpg@256h_256w,382545233,因幡はねる非官方B站搬運 故任何發言與日方無關 工作群群號926948227 あにまーれ檬群已滿 桃群836629287,"37,012"
277,喵月nyatsuki,https://i1.hdslb.com/bfs/face/99a4249627b8572ee402f36c92730d8e9ab26dd3.jpg@256h_256w,472821519,为了远道而来的你←VirtuaReal 想要成为歌势 商务合作请联系bd@vrp.live,"36,466"
278,名取さな字幕组,https://i0.hdslb.com/bfs/face/b406faf314914e89925556f640e7050a31802093.jpg@256h_256w,395933021,个人势VTuber名取纱那授权搬运组。搬运@名取さな。长期收剪辑翻译打轴校对。不接受商业合作。交流群：708857540,"35,695"
279,尼奥喵Neil_Channel,https://i2.hdslb.com/bfs/face/f1b2178aaa23a4b3a0dc4e370589217e5caf231b.jpg@256h_256w,12120515,个人势聊天up主 请多关照,"35,669"
280,胡桃Usa,https://i2.hdslb.com/bfs/face/de209219bc31c69bd6346815d5531eb0103c9ae1.jpg@256h_256w,12497617,✞ 堕天使降临 ✞ QQ群864814510／画师@林大B／录播@Providence企划,"35,593"
281,love-pii-channel,https://i1.hdslb.com/bfs/face/ccf69ba8d7c548e15ef44bba29fcfc03f83826ac.jpg@256h_256w,580482351,初次见面！这里是love-pii官方频道！字幕组持续吃人中~审核群号961351462,"35,425"
282,Project_V_官方,https://i0.hdslb.com/bfs/face/15927866d4e29db065dd67d9186f17ed9e65885c.jpg@256h_256w,383012066,为您带来虚拟主播的娱乐节目，活动直播和各种信息的综合频道,"35,258"
283,寿寿歌_suzuka,https://i1.hdslb.com/bfs/face/f6ca63e7941bad3879cac9e029e61e817c1279d7.jpg@256h_256w,471308347,VirtuaReal Link と 游戏风云 所属、背徳の天使寿々歌だ！,"35,228"
284,绯赤艾莉欧Official,https://i1.hdslb.com/bfs/face/cbd1598430a256ab4ec2b1ec9a385404565c2bf3.jpg@256h_256w,407106379,幻想骑士团团长绯赤erio chucolala所属 粉丝群：910755201 字幕组审核群： 526081395,"34,646"
285,萝卜蘸酱_机萪Official,https://i1.hdslb.com/bfs/face/9300df0c6977a0a7856593374cedb015e5087692.jpg@256h_256w,479965355,人类，你们好，我是萝卜蘸酱。直播间：22210240 商务合作请联系：xinke_business@sina.com,"34,596"
286,三日暦Official,https://i1.hdslb.com/bfs/face/7e828afd8f35f5cfee21d9d9cace5fbe61f13907.jpg@256h_256w,571841213,LOLを布教する為に舞い降りた教祖、みずかいこよみです,"34,439"
287,度人Tabibito,https://i1.hdslb.com/bfs/face/353aa94ad549172bb7349d8ae110c46a8c2141ff.jpg@256h_256w,474369808,初次见面，我是度人，VirtuaReal所属虚拟牌手，智斗洋馆馆主，空天雪城城主。商务合作请联系：bd@vrp.live,"34,403"
288,友希Yuuki,https://i1.hdslb.com/bfs/face/2c1844573f8186f4d3a0b066bf4fe5b699c12547.jpg@256h_256w,8363141,"不会唱歌不会画画不会杂谈不会打游戏的个人势vup
                群：1148176536 录播组：友希の练歌房
                一周3播平时很忙 不是全职vup望体谅","34,142"
289,舞元启介Official,https://i0.hdslb.com/bfs/face/b5adebf493c76fe4a4411548f9991930698b1244.jpg@256h_256w,477780497,大家好！我是NIJISANJI所属虚拟主播舞元启介！是一个喜欢运动喜欢酒，还喜欢打游戏的VTuber！请多指教！,"34,121"
290,-Yu酱-,https://i0.hdslb.com/bfs/face/ce6e5524cbaaa6e584f0698fcfdaecc61749ff9e.jpg@256h_256w,3032688,个人势全职虚拟主播，虚拟形象是有尾巴的人鱼～个人势很需要大家支持，所以喜欢就来直播间支持yu吧！每晚9点直播，录播号:Yu酱の录播小天使,"33,807"
291,云玉鸾,https://i0.hdslb.com/bfs/face/4533445a4c9df7e4282a06658d88459a5e9f748a.jpg@256h_256w,8170242,Lucca事务所所属！游学出逃，喜欢吃吃吃，麦霸。,"33,775"
292,樱美Yuna-Official,https://i0.hdslb.com/bfs/face/ba2d0fe5b5757c077dba258b04be2f07577b9f6b.jpg@256h_256w,1448323,"初次见面,我是樱美yuna一边上大学一边以播音员作为目标正在努力中，应援请多关照!","33,699"
293,八美联,https://i1.hdslb.com/bfs/face/1ea37a9329a424b292421518e92a1bbbdc798a92.jpg@256h_256w,348832436,本组目前只进行兔鞠和玛格萝娜的字幕制作/长期招收各种职位 审核群：735848012 粉丝群1056205796,"33,567"
294,虎丸幼一Official,https://i0.hdslb.com/bfs/face/9695dbe9a074e9b10640f4162da60687cd6f2d02.jpg@256h_256w,205083578,"恭喜你成功捕捉到一只白虎！
                粉丝群群号:752417937
                ( ㊖ ˍ ㊖ )","33,340"
295,剑持刀也搬运组,https://i2.hdslb.com/bfs/face/3b7148eb342a01480689f663a760a4d893069dc1.jpg@256h_256w,327875807,按二创条例之非官方字幕组。播放清单见收藏夹。长期收翻译（N2)校对(N1) 审核群1027491791 粉絲群785745032 欢迎来虚空,"33,238"
296,某柯moke,https://i1.hdslb.com/bfs/face/c48b63232452e7d80ed0c847f136f0e9a0d4d433.jpg@256h_256w,2844993,粉企鹅desu 单挑群：701464504,"33,047"
297,鸽姬言知,https://i1.hdslb.com/bfs/face/aea88b8852b7963c53cd81d78354a63bdaa53b0f.jpg@256h_256w,35478071,想办法凑更的屑UP 不怎么会说话 ADTB社团男妈妈 商务合作请私信 聊天吹水群 453778370,"33,027"
298,星ノ谷みやOfficial,https://i2.hdslb.com/bfs/face/d493bb41c32272324a0a0c14ab5b581519cd537c.jpg@256h_256w,402105315,来自星之国的双语喵星人 粉丝群：855284000 【P-SP】,"32,639"
299,神楽唯Official,https://i1.hdslb.com/bfs/face/59b12640e75e24eaeebb5b83178dcbbe038ac6fd.jpg@256h_256w,38631,这里是神楽唯「KaguraYui」请多多关照！ママ：@鸟蛋peach 交流群 333972765 注意！这只主播是猛男！,"32,448"
300,羽音Hanon,https://i1.hdslb.com/bfs/face/3a227f0b6ff689669f2efe6abc52350970a03a00.jpg@256h_256w,455965041,42,"32,287"
301,日月咪玉-官方,https://i2.hdslb.com/bfs/face/231b8cec470f7b87bf7bd6a9dd98c503f9b231e2.jpg@256h_256w,391614061,静凛·家长麦酱的妹妹・虚拟歌手日月咪玉！学习中文 官方粉丝群是1014648717,"32,176"
302,乐喵Channel,https://i2.hdslb.com/bfs/face/434507ae5f497912f06ff737211e7c92add50c84.jpg@256h_256w,483231,22世纪的虚拟UP猫，未来信箱：miachannel@foxmail.com，直播的时候会念来信,"32,090"
303,轴伊Joi_Channel,https://i0.hdslb.com/bfs/face/1ad92d64b9e5c0b02a719c595731f9fcf8481453.jpg@256h_256w,61639371,爽诶…！窒息系无感情虚拟主播。QQ群849437495。橘子是最完美的水果～,"31,948"
304,dsailab,https://i1.hdslb.com/bfs/face/e535b67e56d8bd3a0a1034d7ef0322f2f61f6adf.jpg@256h_256w,411812743,任何问题请联系QQ：2434985883,"31,708"
305,莉泽的第二工厂,https://i0.hdslb.com/bfs/face/bb92ae21f7f856089dad2581635d74f2d3c5f648.jpg@256h_256w,412180051,审核群：882680894。粉丝一群：668727087。粉丝二群:775826560 ,"31,556"
306,寇蔻_Official,https://i2.hdslb.com/bfs/face/d00ed99efeb160bac0d3a985aafc67e144132d01.jpg@256h_256w,493549454,"喜欢画画的清草系vup。寇——蔻——哒——哟——( ´･ω･)ﾉ
                大家都是照亮我的星星
                周二周五周日21点直播
                二群：1146148369","31,338"
307,子花酱Hanako,https://i0.hdslb.com/bfs/face/676e6ab4133cd183b0c9ba000247c8f52d3e3d61.jpg@256h_256w,75937648,"个人势vup子花，一只爱打游戏的恶魔
                本职是画师，lol是兴趣
                微博@子花酱Hanako
                录播@子花大爷的监控室
                水友群：571803820","31,296"
308,折歌歌,https://i0.hdslb.com/bfs/face/ef0cf37bcbed783d02cf2b3fbde68e62f11c68eb.jpg@256h_256w,394877484,可以说一句我永远喜欢歌歌吗哪怕不是真心的,"31,280"
309,木易Maria,https://i0.hdslb.com/bfs/face/e0147cccdb1b402befc8a6a626c548c492099f49.jpg@256h_256w,82255852,微博@木易Maria 唱见/YYGQ剪辑/PV师见收藏夹/群：1026413564 合作戳助理Q：2939503072,"31,241"
310,超V学园_林玲Lynn,https://i1.hdslb.com/bfs/face/795c86f31511dd280ac0733e4546e41131ae4b88.jpg@256h_256w,474593909,ᕱ⑅ᕱ 爱唱歌画画打游戏可萝可御JK老二次元兔兔，心潮澎湃,"30,892"
311,眞白花音_Official,https://i1.hdslb.com/bfs/face/2ed02a6e0101d044720a09e774321f88b45808c6.jpg@256h_256w,401480763,这里是真白花音，Chucolala所属的vtuber，请多多关照~ （已授权）粉丝群：776040686,"30,656"
312,从千草西园到三味书屋,https://i2.hdslb.com/bfs/face/ace426a0da0e85d57ae980c8721d85b972db8f43.jpg@256h_256w,237428079,这里是2434所属vtuber西园千草的非公式搬运组，不定期产出熟肉。审核群号：1025555212,"30,584"
313,星乃めあOfficial,https://i1.hdslb.com/bfs/face/494c54b36add2fe4b2d5db904019d41d1673d9ba.jpg@256h_256w,5730,梦见坂学院音乐科合唱部所属的高二学生 粉丝群二群：711193895 翻译组：949143480,"30,490"
314,时音Official,https://i2.hdslb.com/bfs/face/8a385c72186d59221498a919ab94ddc14245b8c2.jpg@256h_256w,446409293,<CodeEcho所属>不爱喝奶茶的打工狂魔不是好vup 单推群：673773219 围脖：时音Official,"30,162"
315,不能吃的ok酱,https://i2.hdslb.com/bfs/face/d6dbebf9ded06c6b7f96bbb94ddf49e21f2115fd.jpg@256h_256w,1764912,今天也因染上你的颜色而幸福着。风云社所属，本职是个JK，为了养活仅一人的女仆咖啡厅而兼职成为大家的香香妈~,"29,955"
316,居家女仆助手LOLO,https://i2.hdslb.com/bfs/face/a3d979149dd54813ea06639b9a3b64794fd285c1.jpg@256h_256w,102668397,LOLO授权带字幕转载字幕组 喜欢可爱的LOLO酱可以点一下关注哦! （审核群号：1140780719）,"29,621"
317,初焰Hatsuhomura,https://i2.hdslb.com/bfs/face/0ccf75897ac24bc4fdcfefd842cdbefe258d97fc.jpg@256h_256w,431473020,帕图姆星的赤狐少年！每周三五六晚7点30固定直播唔！初焰伙伴2群：819914179 直播通知：753657269,"29,454"
318,角卷绵芽保护协会,https://i0.hdslb.com/bfs/face/2948318be686a905e10126a0f41c614319b423c1.jpg@256h_256w,490441866,角卷绵芽游记团所属，角卷绵芽保护协会bilibili账号。主要负责烤推与二创制作。有意加入请加群：597594959,"29,313"
319,某南,https://i2.hdslb.com/bfs/face/46fc60883e81ade70191312bc750d9ec08a9cc5d.jpg@256h_256w,7595,程序猿个人势VUp，Q群157733521,"29,294"
320,花谱_kaf,https://i2.hdslb.com/bfs/face/c1e5ead708dd3e4df77fc6b6ff1a8bda36df71dd.jpg@256h_256w,488970166,16岁，栖息于日本某处。仿佛无处不在，却又无影无踪。虚拟歌手 花譜/KAF。,"29,262"
321,星川杏_,https://i2.hdslb.com/bfs/face/a90f940d35a04b40bd7de6143a5a9c5a0c762666.jpg@256h_256w,1384726,虚拟gamer星川杏desu，又菜又爱玩。单挑群：1064656546,"29,177"
322,超V学园_林伊Eli,https://i1.hdslb.com/bfs/face/dbdbc64d89b8a612a1b20bf216f05e2d1fe6bd8a.jpg@256h_256w,474593910,"宇宙无敌元气可爱世界最靓超级美少女林伊,晚上9点开播，下午不定时出没。","29,171"
323,子凌弈秋,https://i1.hdslb.com/bfs/face/5bf7b0c002e1c76118b44abe0327f947257d8fda.jpg@256h_256w,32410214,【佛系狼崽】再烦我就咬人了！（有个走失的哥哥！全网通缉中！）,"28,982"
324,夜岚_Official,https://i0.hdslb.com/bfs/face/9ff10769bcdae35a9c2132d3bbfb3dcb4610940e.jpg@256h_256w,1523623,"个人势养生系VUP//希望你也可以活成自己想要的样子
                -每月充电前三名赠送周边
                -粉丝聊天群263 052 609
                -脑袋上的是笋，不是兽耳","28,724"
325,泡沫メモリ_Official,https://i0.hdslb.com/bfs/face/a5a407d9202dcfdef6a154ac69e028c98b936c4b.jpg@256h_256w,487551829,ViViD所属的Vtuber。人类与精灵的混血。粉丝群：1132670270（7群）。字幕组审核群：685228392,"28,578"
326,直立行走已存在,https://i2.hdslb.com/bfs/face/8b338042bdbe3ac7da5aca3606cd2d55cbea3426.jpg@256h_256w,14712304,音無姊妹U2b：http://qq2q.biz/LRdu 搬运，粉丝群：684362460,"28,514"
327,铃木胜Official,https://i2.hdslb.com/bfs/face/ab4711c66ad9986cecca6bd4a3759de3713113fa.jpg@256h_256w,586880205,我是NIJISANJI所属的铃木胜！虚拟中学2年级的男生。 在哔哩哔哩也请多关照哦！,"28,319"
328,樱樱火Official,https://i1.hdslb.com/bfs/face/d8067c4d471b18874e1d9f8efd3d83d4704cb669.jpg@256h_256w,474113504,为了成为VTUBER里的最好的主持人（中日贴贴大使）而努力樱樱！DD裙→725919600,"28,093"
329,Milky_Vtuber,https://i0.hdslb.com/bfs/face/bd7bc61c8f6ecfe72d2d93672bc8c3299ee0629a.jpg@256h_256w,410741448,喵吼，我是みるきぃ！是喜欢游戏的vtuber，请多多指教！推特：@MilkyVtuber 粉丝Q群：661057871,"28,071"
330,账号已注销,https://i0.hdslb.com/bfs/face/member/noface.jpg,399227464,399227464,"28,007"
331,相羽初叶_Official,https://i1.hdslb.com/bfs/album/cb23f5583a7d0f19170831208819f6bb3b827719.jpg@256h_256w,586880202,にじさんじ所属アイドルライバー相羽ういはの公式チャンネルです。,"27,990"
332,花守海露希Official,https://i0.hdslb.com/bfs/face/ddaf245d79b96d0d170c2c495c39fb550a8d2a60.jpg@256h_256w,476542825,我是元气满满可爱小护士花守海露希！能说中英日韩四种语言。绘师：Ayamy 粉丝群：915386095 ,"27,867"
333,雨宫水希Channel,https://i0.hdslb.com/bfs/face/4f3a4be2a5f89d250772982e837b335727f05287.jpg@256h_256w,744713,"个人势 无声默剧系虚拟大小姐。
                为你带来安静治愈的天才Gamer。
                闲聊群：879219501。","27,708"
334,萨麦尔_Samael,https://i0.hdslb.com/bfs/face/40fbbe55521880723e6bce3921c51c5a88970ba8.jpg@256h_256w,370689210,VirtuaReal所属怒之撒旦萨麦尔samael。喂？在吗？我馋你魂；商务合作邮箱：bd@vrp.live,"27,665"
335,梦追翔Official,https://i1.hdslb.com/bfs/face/f0b1d968e4b71cf4dfb40d3fbf5f52fab6039fb0.jpg@256h_256w,511613154,我是虚拟创作歌手，梦追翔!,"27,632"
336,真绯瑠mahiru,https://i1.hdslb.com/bfs/face/a0941aeaa2802085cf5d4b7c48587d2e1f6e82b5.jpg@256h_256w,477306079,VirtuaReal Project所属的真绯瑠mahiru!デビル日々進化中!商务合作请联系：bd@vrp.live,"27,608"
337,饼叽Official,https://i0.hdslb.com/bfs/face/73b7f853159aef70d1c6cf376e02550f295e67af.jpg@256h_256w,20709396,"这里是mochipro创始人、虚拟创作者兼3D建模师饼叽
                所属官方字幕组
                粉丝：361235705 工作：962698869
              ","27,554"
338,打酱油的魔神_Channel,https://i2.hdslb.com/bfs/face/532da3863ae3e9fef5b6014a77ce9d6bcd4c3e7b.jpg@256h_256w,11082943,御魔道而度众生,"27,506"
339,多拉Official,https://i0.hdslb.com/bfs/face/20c7cc8848784535fa914f1f0f94d8d3e411b48d.jpg@256h_256w,595407555,よう人間ども！ファイアードレイクのドーラじゃよ～！今日もいいことありますように！,"27,427"
340,fairyschan,https://i1.hdslb.com/bfs/face/e566b95e550c7a7c27a0f232159d3ddf3693680c.jpg@256h_256w,432762700,我是鹦鹉ふぇありす(Fairyschan)！来自日本的清楚系虚拟YouTuber～还请大家多多关照~~~,"27,246"
341,安德莉亚提不起劲,https://i1.hdslb.com/bfs/face/3739af055c21aa832542e33bb7ca5efad659dce2.jpg@256h_256w,249088457,249088457,"27,088"
342,珠鳴なるOfficial,https://i2.hdslb.com/bfs/face/b3e6aff62e237a6108670fb572feb38a0cabfbb9.jpg@256h_256w,454110795,和遥树奈Project所属，珠鳴なる(tamanaki_naru)，我可是男孩子哦…就算这样也没问题吗？画师：和遥キナ,"27,055"
343,多间硝子_Official,https://i2.hdslb.com/bfs/face/7bef0cd1b0499356b8b405a7d3f29c134d010228.jpg@256h_256w,20621838,多间硝子字幕组，已获得硝子本人授权，工作审核群：343829984，粉丝群：838891180，入群答案翻视频,"27,050"
344,恶魔channel,https://i2.hdslb.com/bfs/face/c49bf00638a863d4eaec1f9fbb3d6abcbce870a8.jpg@256h_256w,6483727,个人势 VUP 【交流群945967273】 唔~ 游戏虚拟主播（✖）生草虚拟主播（✔）,"26,505"
345,超电VUP官方账号,https://i0.hdslb.com/bfs/face/88e6a1234f22b7afe0630da6c6739aa4a0b5609d.jpg@256h_256w,597066058,来D来D~招募及合作请联系 chaodian_vup@bilibili.com,"26,425"
346,星星Star_Vtuber,https://i0.hdslb.com/bfs/face/f4b28fd686c1a311f6f8c02d0190681cb0b81738.jpg@256h_256w,258872141,Vtb的事那能叫骗吗 Q群:125476277 ,"26,388"
347,朝比奈蒼,https://i2.hdslb.com/bfs/face/ae222be8bbe47787bbc502f5d95f62c3bd2661d0.jpg@256h_256w,431971663,ひっひ～✨我是朝比奈蒼！粉丝群：390132944 爱发电:https://afdian.net/@AsahinaAO,"26,302"
348,青川哈露卡_Official,https://i1.hdslb.com/bfs/face/a14aea7bc5b336416cad14cd506910ecb52fea6c.jpg@256h_256w,625871594,骡子也比驴子好,"25,989"
349,芭娜娜Official,https://i0.hdslb.com/bfs/face/bd878c6f13a3c55d7cb097077412f2df14315cc6.jpg@256h_256w,478735811,<CodeEcho所属> 养了只不明生物的虚拟大小姐。有个蕉流2群：1073042231,"25,956"
350,橘柠院Jny,https://i0.hdslb.com/bfs/face/23d98aae97b9949d686f64d49ecc2a7fc4f281db.jpg@256h_256w,314993,个人势VTB魔界万事屋老板娘—橘子！请多指教！,"25,833"
351,鬼畜千寻炎哈组,https://i1.hdslb.com/bfs/face/82bfc8ec5bbfd74515c903a7e676b846bc733f19.jpg@256h_256w,3726678,彩虹社授权搬运联盟 勇气千寻&涩谷初翻译组（935596752） 粉丝群：785346206 760928989,"25,765"
352,猫小鹰Owl,https://i2.hdslb.com/bfs/face/3825dd7dff8a4c4d5a2b8841d74f75e9d4447714.jpg@256h_256w,524279657,大家好，这里是新人vup时空邮差猫小鹰~目标是vup界的最强猫头鹰！粉丝群：397211036,"25,753"
353,神奈希_Official,https://i0.hdslb.com/bfs/face/ff76ae70e5b83435f5a8866153d97b5900688bda.jpg@256h_256w,157330863,今天的你还好吗？LBG社团的神明泡泡茶会✨的一员，经常突击直播，详情看置顶动态～欢迎大家的联动呐！目前目标:10w粉，你愿意成为我的崽崽嘛~,"25,722"
354,七濑昴Official,https://i2.hdslb.com/bfs/face/f20a8fe7398bc052b85ab50ee815ea95490ba999.jpg@256h_256w,398709832,这里是七瀬すばる授权官方号！绝赞吃剪辑翻译校对美工画师中，吃人组号：853525385， 粉丝群2：665028735,"25,627"
